-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Friday 2019-09-06,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Giảm nhẹ,Tăng tốt,-,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ
Saturday 2019-09-07,Giảm mạnh,-,Tăng ổn,-,-,Tăng nhẹ,-,-,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn
Sunday 2019-09-08,Tăng ổn,-,-,Tăng tốt,-,Tăng nhẹ,-,-,-,Giảm khá,Tăng nhẹ,Tăng nhẹ
Monday 2019-09-09,Giảm nhẹ,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,-,Giảm khá,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ
Tuesday 2019-09-10,-,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-
Wednesday 2019-09-11,Giảm nhẹ,Giảm khá,-,Tăng ổn,Tăng ổn,-,Giảm nhẹ,-,Tăng nhẹ,-,Giảm khá,-
Thursday 2019-09-12,Giảm khá,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng ổn,Tăng ổn
Friday 2019-09-13,Tăng nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Tăng ổn,Tăng tốt,Tăng tốt,Giảm khá,Tăng nhẹ
Saturday 2019-09-14,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm khá,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,Tăng ổn,Giảm nhẹ
Sunday 2019-09-15,-,-,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,-,-,-
Monday 2019-09-16,-,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm khá,-,Tăng tốt
Tuesday 2019-09-17,Giảm mạnh,Tăng nhẹ,Tăng tốt,Giảm mạnh,-,-,-,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Wow!!!
Wednesday 2019-09-18,What the *,Tăng ổn,Giảm nhẹ,Giảm khá,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ
Thursday 2019-09-19,Tăng nhẹ,-,Tăng nhẹ,Giảm khá,Giảm mạnh,What the *,Tăng ổn,-,Tăng ổn,Tăng tốt,-,Wow!!!
Friday 2019-09-20,Giảm mạnh,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm khá,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ
Saturday 2019-09-21,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ,-
Sunday 2019-09-22,-,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm khá,-
Monday 2019-09-23,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ
Tuesday 2019-09-24,Giảm nhẹ,-,Giảm khá,-,-,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm mạnh,Giảm mạnh
Wednesday 2019-09-25,What the *,What the *,Wow!!!,Tăng tốt,Giảm mạnh,Giảm khá,Tăng nhẹ,What the *,Tăng nhẹ,Giảm nhẹ,Tăng ổn,-
Thursday 2019-09-26,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Giảm khá,-,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Giảm mạnh,Giảm mạnh
Friday 2019-09-27,Tăng ổn,-,Tăng nhẹ,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,Tăng ổn
Saturday 2019-09-28,Tăng ổn,Tăng ổn,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,Giảm khá,-,Tăng nhẹ
Sunday 2019-09-29,-,Tăng nhẹ,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,-,Giảm nhẹ,Giảm khá,-,Tăng ổn
Monday 2019-09-30,Giảm khá,-,Tăng ổn,Giảm nhẹ,-,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,Tăng tốt,-,Tăng tốt,Tăng nhẹ
Tuesday 2019-10-01,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Tăng tốt,-,Giảm khá,Tăng nhẹ,-,-,-,-
Wednesday 2019-10-02,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,-,-,Giảm nhẹ,-,-
Thursday 2019-10-03,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm khá,Tăng nhẹ,Giảm khá,-,Giảm khá,Tăng ổn
Friday 2019-10-04,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ
Saturday 2019-10-05,-,Giảm nhẹ,-,Giảm nhẹ,-,-,-,Giảm nhẹ,-,Giảm nhẹ,-,-
Sunday 2019-10-06,-,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Tăng tốt,Giảm khá,Giảm nhẹ
Monday 2019-10-07,Giảm khá,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng ổn,-,Tăng nhẹ
Tuesday 2019-10-08,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Giảm khá,-,Tăng ổn,Giảm nhẹ,Giảm khá
Wednesday 2019-10-09,Giảm khá,-,Tăng nhẹ,-,Giảm nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,-,Tăng tốt,Tăng nhẹ
Thursday 2019-10-10,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm nhẹ
Friday 2019-10-11,-,Tăng nhẹ,-,-,-,Tăng ổn,Giảm mạnh,Giảm khá,Tăng tốt,Giảm nhẹ,-,-
Saturday 2019-10-12,Giảm nhẹ,-,-,Giảm nhẹ,-,-,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn
Sunday 2019-10-13,Giảm nhẹ,-,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,-,-
Monday 2019-10-14,-,Giảm khá,-,-,-,Tăng nhẹ,Giảm nhẹ,-,-,-,-,Tăng nhẹ
Tuesday 2019-10-15,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm mạnh
Wednesday 2019-10-16,Tăng nhẹ,-,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Giảm khá,Tăng nhẹ
Thursday 2019-10-17,Giảm khá,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng nhẹ,Tăng ổn,-,-,Tăng nhẹ,Tăng nhẹ
Friday 2019-10-18,-,Giảm khá,-,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ
Saturday 2019-10-19,-,-,-,Giảm nhẹ,-,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ
Sunday 2019-10-20,-,Giảm nhẹ,-,-,-,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-21,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá
Tuesday 2019-10-22,Tăng nhẹ,-,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm nhẹ,-
Wednesday 2019-10-23,-,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,-,-,Tăng nhẹ,What the *,Giảm khá,-
Thursday 2019-10-24,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ
Friday 2019-10-25,-,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Tăng ổn,Tăng ổn,-,Wow!!!
Saturday 2019-10-26,Tăng nhẹ,Giảm nhẹ,-,Wow!!!,-,Giảm khá,Tăng ổn,What the *,-,-,-,Giảm nhẹ
Sunday 2019-10-27,-,Tăng tốt,-,Tăng ổn,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Wow!!!,Tăng ổn
Monday 2019-10-28,Giảm khá
