-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Thursday 2019-09-05,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Friday 2019-09-06,-,-,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ
Saturday 2019-09-07,Giảm mạnh,Giảm nhẹ,-,-,-,-,-,Tăng nhẹ,-,Tăng tốt,Tăng tốt,Tăng ổn
Sunday 2019-09-08,Giảm nhẹ,-,Giảm khá,Tăng ổn,Giảm nhẹ,Tăng tốt,-,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Tăng tốt,Giảm nhẹ
Monday 2019-09-09,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Tuesday 2019-09-10,-,-,Tăng ổn,Tăng nhẹ,Tăng ổn,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng ổn
Wednesday 2019-09-11,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,-,Giảm khá,Giảm khá
Thursday 2019-09-12,-,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ
Friday 2019-09-13,-,-,-,-,-,-,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-
Saturday 2019-09-14,Giảm khá,Tăng nhẹ,-,Tăng nhẹ,-,-,-,-,-,-,Tăng tốt,Tăng nhẹ
Sunday 2019-09-15,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,-
Monday 2019-09-16,-,Tăng nhẹ,-,Tăng ổn,-,-,-,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ
Tuesday 2019-09-17,-,Tăng ổn,Tăng ổn,-,-,-,Tăng nhẹ,-,-,Tăng ổn,-,Tăng tốt
Wednesday 2019-09-18,Giảm nhẹ,Tăng tốt,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Tăng tốt
Thursday 2019-09-19,Giảm khá,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Giảm khá,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng tốt
Friday 2019-09-20,Tăng ổn,Giảm khá,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm khá,Giảm khá
Saturday 2019-09-21,-,-,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,-
Sunday 2019-09-22,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ
Monday 2019-09-23,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ
Tuesday 2019-09-24,-,Giảm mạnh,Giảm mạnh,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ
Wednesday 2019-09-25,What the *,Giảm mạnh,-,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm mạnh,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng tốt
Thursday 2019-09-26,Giảm khá,Tăng tốt,-,Giảm khá,Giảm nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Giảm mạnh
Friday 2019-09-27,Tăng ổn,-,Tăng tốt,Giảm khá,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ
Saturday 2019-09-28,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,-,Giảm khá,-,Tăng nhẹ
Sunday 2019-09-29,Tăng nhẹ,-,-,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn
Monday 2019-09-30,Giảm khá,Tăng nhẹ,Tăng ổn,Giảm khá,-,Giảm khá,-,Tăng ổn,Tăng tốt,Giảm nhẹ,Tăng ổn,-
Tuesday 2019-10-01,-,Giảm nhẹ,Tăng nhẹ,-,Tăng tốt,Giảm nhẹ,-,-,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng ổn
Wednesday 2019-10-02,Giảm khá,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,-
Thursday 2019-10-03,-,-,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng tốt
Friday 2019-10-04,Giảm nhẹ,-,Tăng ổn,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ
Saturday 2019-10-05,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ
Sunday 2019-10-06,-,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-
Monday 2019-10-07,Giảm mạnh,Tăng nhẹ,-,Giảm khá,-,Tăng nhẹ,-,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng tốt
Tuesday 2019-10-08,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-
Wednesday 2019-10-09,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng tốt,-
Thursday 2019-10-10,Tăng nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,-,-,-
Friday 2019-10-11,-,-,-,Giảm nhẹ,-,Tăng ổn,Giảm mạnh,Giảm nhẹ,-,-,Giảm nhẹ,Tăng nhẹ
Saturday 2019-10-12,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ
Sunday 2019-10-13,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,-,-,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ,Tăng nhẹ
Monday 2019-10-14,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,-
Tuesday 2019-10-15,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ
Wednesday 2019-10-16,-,-,-,Tăng nhẹ,-,-,Tăng nhẹ,-,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,-
Thursday 2019-10-17,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Tăng tốt,Tăng nhẹ,-,-,Tăng ổn
Friday 2019-10-18,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm khá,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ
Saturday 2019-10-19,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ
Sunday 2019-10-20,-,-,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng ổn,Tăng nhẹ
Monday 2019-10-21,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,-,Giảm nhẹ,Tăng tốt,Giảm nhẹ,-,Giảm khá
Tuesday 2019-10-22,-,Tăng nhẹ,-,-,Tăng nhẹ,-,-,Tăng nhẹ,Giảm khá,-,-,Tăng nhẹ
Wednesday 2019-10-23,-,Giảm nhẹ,Giảm khá,-,-,Giảm khá,-,-,-,What the *,-,Giảm nhẹ
Thursday 2019-10-24,Tăng ổn,-,Giảm nhẹ,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng ổn,-
Friday 2019-10-25,-,Giảm nhẹ,-,-,-,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Tăng ổn,Tăng tốt,Wow!!!
Saturday 2019-10-26,Tăng nhẹ,-,Giảm nhẹ,Tăng tốt,Tăng ổn,Giảm nhẹ,-,Giảm mạnh,Giảm nhẹ,-,Giảm khá,-
Sunday 2019-10-27,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm khá,Wow!!!,Tăng tốt
Monday 2019-10-28,Giảm khá,Giảm khá,Giảm khá,Tăng tốt,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Giảm nhẹ,Tăng tốt,Giảm mạnh,Giảm nhẹ,-
Tuesday 2019-10-29,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-
Wednesday 2019-10-30,-,Tăng ổn,Tăng nhẹ,Giảm khá,Tăng ổn,Giảm khá,-,-,Giảm khá,-,Giảm nhẹ,Giảm nhẹ
Thursday 2019-10-31,Tăng ổn,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,Tăng tốt,-,Giảm nhẹ
Friday 2019-11-01,-,Giảm nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,-,-,-,Giảm nhẹ,-
Saturday 2019-11-02,-,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ
Sunday 2019-11-03,-,Giảm khá,-,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ
Monday 2019-11-04,-
