-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Friday 2019-10-04,Wow!!!,Tăng tốt,Tăng tốt,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Wow!!!,Giảm nhẹ
Saturday 2019-10-05,Tăng nhẹ,Tăng ổn,Tăng ổn,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,-,Giảm khá,Giảm khá,-
Sunday 2019-10-06,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ
Monday 2019-10-07,Giảm khá,-,-,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Tăng ổn,Tăng ổn,Tăng nhẹ,Tăng ổn
Tuesday 2019-10-08,-,Giảm khá,-,Giảm nhẹ,Tăng tốt,What the *,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-,Giảm khá
Wednesday 2019-10-09,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,-,Tăng ổn,-,Giảm khá,Tăng nhẹ
Thursday 2019-10-10,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Friday 2019-10-11,-,-,-,-,Giảm nhẹ,-,Giảm mạnh,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Saturday 2019-10-12,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ
Sunday 2019-10-13,Giảm khá,Tăng nhẹ,Tăng nhẹ,-,-,-,-,Giảm mạnh,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ
Monday 2019-10-14,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,Giảm khá,Tăng nhẹ,-
Tuesday 2019-10-15,Tăng ổn,Giảm nhẹ,-,-,-,-,-,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm mạnh
Wednesday 2019-10-16,Giảm khá,Giảm khá,Tăng ổn,-,Giảm khá,-,-,Giảm nhẹ,Giảm nhẹ,What the *,Giảm khá,Tăng tốt
Thursday 2019-10-17,-,-,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Tăng ổn
Friday 2019-10-18,Tăng nhẹ,-,Giảm nhẹ,Tăng ổn,-,Giảm khá,Giảm mạnh,Giảm mạnh,Tăng nhẹ,Tăng ổn,-,-
Saturday 2019-10-19,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,-,-,-,Tăng nhẹ,-,Giảm nhẹ
Sunday 2019-10-20,-,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,-,-,-,-,-,Tăng ổn,Tăng ổn
Monday 2019-10-21,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,-,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ
Tuesday 2019-10-22,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ
Wednesday 2019-10-23,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm khá,-,Tăng nhẹ,Tăng nhẹ,What the *,Giảm khá,Giảm nhẹ
Thursday 2019-10-24,Tăng ổn,Giảm nhẹ,-,Tăng ổn,-,Giảm nhẹ,Giảm khá,Tăng tốt,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ
Friday 2019-10-25,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Tăng ổn,Tăng ổn,Wow!!!
Saturday 2019-10-26,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng tốt,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Giảm nhẹ
Sunday 2019-10-27,-,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm khá,Tăng tốt,Tăng ổn,Tăng tốt,-,Wow!!!,Wow!!!
Monday 2019-10-28,What the *,Giảm nhẹ,Tăng tốt,Wow!!!,Giảm mạnh,Giảm mạnh,Giảm mạnh,Giảm khá,Tăng tốt,What the *,What the *,Tăng nhẹ
Tuesday 2019-10-29,Tăng tốt,Tăng tốt,Giảm khá,Giảm mạnh,Giảm mạnh,Tăng tốt,-,Wow!!!,Giảm nhẹ,-,Giảm mạnh,-
Wednesday 2019-10-30,Giảm nhẹ,Giảm khá,Tăng ổn,-,Giảm nhẹ,Tăng tốt,Giảm khá,Wow!!!,Giảm mạnh,Giảm mạnh,What the *,Tăng nhẹ
Thursday 2019-10-31,Tăng tốt,Giảm nhẹ,Tăng tốt,Giảm mạnh,What the *,Wow!!!,Giảm khá,-,Tăng ổn,Tăng tốt,-,Wow!!!
Friday 2019-11-01,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng tốt,What the *,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng tốt
Saturday 2019-11-02,Tăng tốt,Tăng tốt,Giảm mạnh,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-
Sunday 2019-11-03,Giảm nhẹ,-,-,-,Tăng ổn,Giảm khá,-,Giảm khá,Giảm khá,Tăng tốt,Giảm khá,-
Monday 2019-11-04,Giảm nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,-,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ
Tuesday 2019-11-05,-,-,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Wow!!!
Wednesday 2019-11-06,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Giảm khá,-,Giảm nhẹ,-
Thursday 2019-11-07,-,-,Tăng ổn,-,Giảm khá,Giảm mạnh,Giảm nhẹ,Giảm khá,Giảm khá,-,Tăng tốt,Giảm nhẹ
Friday 2019-11-08,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Giảm khá,-,Giảm khá,Giảm khá,Giảm mạnh,Giảm khá,Giảm khá,Tăng ổn
Saturday 2019-11-09,-,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Sunday 2019-11-10,-,-,-,Tăng nhẹ,Tăng nhẹ,-,Tăng ổn,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Monday 2019-11-11,Tăng ổn,Tăng nhẹ,-,-,Tăng ổn,Giảm khá,Giảm mạnh,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,-
Tuesday 2019-11-12,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm khá,Tăng nhẹ
Wednesday 2019-11-13,-,-,-,Giảm khá,Tăng nhẹ,-,Giảm khá,Tăng tốt,Tăng nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ
Thursday 2019-11-14,-,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Giảm nhẹ,-,-,Tăng ổn,Giảm nhẹ
Friday 2019-11-15,-,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,-,-,Tăng ổn,Tăng nhẹ,Wow!!!,What the *,Giảm nhẹ
Saturday 2019-11-16,Tăng nhẹ,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Tăng ổn
Sunday 2019-11-17,Giảm khá,-,-,Tăng tốt,-,Giảm nhẹ,-,-,Giảm khá,Tăng ổn,Giảm nhẹ,Giảm khá
Monday 2019-11-18,Giảm nhẹ
