-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Friday 2019-10-11,-,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,Tăng ổn,Giảm mạnh,-,Tăng nhẹ,-,-,-
Saturday 2019-10-12,-,-,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng ổn,-,-
Sunday 2019-10-13,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,-,-,Tăng ổn,Giảm nhẹ,-,-,Tăng nhẹ
Monday 2019-10-14,-,Giảm nhẹ,Tăng nhẹ,-,Tăng tốt,-,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ
Tuesday 2019-10-15,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm khá
Wednesday 2019-10-16,Tăng nhẹ,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,-
Thursday 2019-10-17,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Wow!!!,-,-,Tăng nhẹ,-
Friday 2019-10-18,Tăng nhẹ,-,Tăng nhẹ,-,Giảm khá,-,Giảm mạnh,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,-
Saturday 2019-10-19,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm khá
Sunday 2019-10-20,-,Tăng nhẹ,-,-,Giảm khá,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-21,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm khá
Tuesday 2019-10-22,-,Tăng nhẹ,-,-,Tăng tốt,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,-
Wednesday 2019-10-23,Tăng nhẹ,Giảm nhẹ,Giảm khá,-,-,Giảm khá,-,-,Tăng nhẹ,What the *,Giảm khá,Giảm khá
Thursday 2019-10-24,Tăng nhẹ,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,-,Giảm khá,Tăng ổn,-,Tăng ổn,Tăng ổn,-
Friday 2019-10-25,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Wow!!!
Saturday 2019-10-26,-,-,-,Tăng ổn,-,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Sunday 2019-10-27,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Tăng tốt,-,-,Giảm nhẹ,Giảm nhẹ,Tăng ổn,-
Monday 2019-10-28,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng tốt,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ
Tuesday 2019-10-29,-,-,Tăng nhẹ,Giảm nhẹ,-,-,-,-,-,Tăng tốt,Giảm nhẹ,Giảm nhẹ
Wednesday 2019-10-30,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-
Thursday 2019-10-31,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng ổn,-,-
Friday 2019-11-01,-,-,-,Giảm nhẹ,-,Giảm nhẹ,-,-,-,-,Giảm nhẹ,-
Saturday 2019-11-02,-,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,-,-,Tăng nhẹ,-,Tăng ổn
Sunday 2019-11-03,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Monday 2019-11-04,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,-
Tuesday 2019-11-05,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng ổn,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,-,Tăng nhẹ,-,-
Wednesday 2019-11-06,Giảm nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-
Thursday 2019-11-07,-,Tăng nhẹ,Tăng tốt,Tăng ổn,Giảm mạnh,-,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,-,Tăng nhẹ,-
Friday 2019-11-08,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Giảm khá,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm khá,-
Saturday 2019-11-09,Tăng nhẹ,Tăng nhẹ,-,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ
Sunday 2019-11-10,Tăng nhẹ,-,-,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ
Monday 2019-11-11,-,-,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm khá,-,Giảm nhẹ,-,Tăng nhẹ,-
Tuesday 2019-11-12,-,Giảm nhẹ,-,-,-,Giảm nhẹ,-,-,-,-,Giảm nhẹ,Tăng nhẹ
Wednesday 2019-11-13,-,-,-,-,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ
Thursday 2019-11-14,-,-,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm khá,-,-,Tăng ổn,-
Friday 2019-11-15,-,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng ổn,-,-,Giảm mạnh,Tăng nhẹ
Saturday 2019-11-16,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,-,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ
Sunday 2019-11-17,-,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Monday 2019-11-18,-
