-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Sunday 2019-10-06,-,-,Mạnh,-,Khá,Khá,-,Khá,-,Khá,-,-
Monday 2019-10-07,-,-,Khá,-,Nhẹ,Khá,-,-,Khá,-,-,-
Tuesday 2019-10-08,-,-,Khá,-,-,-,-,-,-,Nhẹ,Mạnh,-
Wednesday 2019-10-09,Nhẹ,-,-,Khá,-,-,-,-,Khá,-,-,-
Thursday 2019-10-10,-,Khá,Khá,-,-,-,-,-,-,-,Nhẹ,-
Friday 2019-10-11,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,Khá,-
Saturday 2019-10-12,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-
Sunday 2019-10-13,Khá,-,-,-,-,-,Nhẹ,-,Khá,Nhẹ,-,Nhẹ
Monday 2019-10-14,-,-,Nhẹ,Khá,-,Nhẹ,Nhẹ,-,-,-,-,Mạnh
Tuesday 2019-10-15,-,Khá,-,-,-,Khá,Mạnh,-,Khá,Mạnh,-,-
Wednesday 2019-10-16,Khá,-,-,Nhẹ,-,-,-,-,Khá,-,Khá,-
Thursday 2019-10-17,Khá,Mạnh,Khá,-,-,-,Khá,Khá,Khá,-,Khá,-
Friday 2019-10-18,-,-,-,-,-,Khá,-,-,-,-,-,-
Saturday 2019-10-19,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-
Sunday 2019-10-20,-,-,-,-,-,Nhẹ,-,-,-,Khá,Nhẹ,-
Monday 2019-10-21,-,Mạnh,-,Nhẹ,-,-,-,-,Khá,-,Nhẹ,-
Tuesday 2019-10-22,-,Nhẹ,-,-,-,Khá,-,Mạnh,Nhẹ,Khá,-,Khá
Wednesday 2019-10-23,Khá,Khá,-,-,-,-,Khá,Mạnh,-,-,Wow!!!,-
Thursday 2019-10-24,-,Khá,-,Mạnh,-,-,-,Khá,-,-,Khá,-
Friday 2019-10-25,Nhẹ,-,-,Nhẹ,-,-,-,Mạnh,-,-,Nhẹ,Mạnh
Saturday 2019-10-26,Nhẹ,-,-,Khá,Khá,-,-,-,Khá,-,Khá,-
Sunday 2019-10-27,-,-,-,Nhẹ,-,-,Khá,Nhẹ,-,-,-,-
Monday 2019-10-28,Khá,-,-,Khá,-,Khá,-,-,Nhẹ,-,Nhẹ,-
Tuesday 2019-10-29,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-
Wednesday 2019-10-30,Nhẹ,-,Nhẹ,-,-,-,-,-,-,Khá,-,Nhẹ
Thursday 2019-10-31,Mạnh,-,-,Mạnh,-,-,-,-,-,-,-,-
Friday 2019-11-01,Khá,-,-,-,-,-,Nhẹ,-,Khá,Nhẹ,-,Nhẹ
Saturday 2019-11-02,Khá,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-
Sunday 2019-11-03,-,-,-,-,Nhẹ,-,-,-,-,-,-,-
Monday 2019-11-04,-,-,-,-,-,-,Khá,-,-,Nhẹ,-,Mạnh
Tuesday 2019-11-05,-,-,Nhẹ,-,-,-,Nhẹ,-,Khá,Nhẹ,Khá,-
Wednesday 2019-11-06,-,-,-,-,-,Khá,-,Khá,-,-,Khá,-
Thursday 2019-11-07,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ
Friday 2019-11-08,-,-,-,-,Nhẹ,-,-,-,-,-,-,-
Saturday 2019-11-09,Khá,-,-,-,-,Nhẹ,Khá,-,Khá,-,-,-
Sunday 2019-11-10,-,Nhẹ,Nhẹ,Nhẹ,-,-,Nhẹ,-,-,-,-,-
Monday 2019-11-11,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-
Tuesday 2019-11-12,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-
Wednesday 2019-11-13,Nhẹ,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,Khá
Thursday 2019-11-14,-,Nhẹ,Khá,Khá,-,-,Nhẹ,Nhẹ,-,-,Nhẹ,-
Friday 2019-11-15,-,-,Nhẹ,-,-,-,Nhẹ,-,Khá,Nhẹ,-,Khá
Saturday 2019-11-16,-,-,Nhẹ,-,Khá,-,Nhẹ,Khá,-,-,-,-
Sunday 2019-11-17,Khá,Khá,-,-,-,-,-,Nhẹ,-,Mạnh,-,-
Monday 2019-11-18,-
