-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Friday 2019-10-18,-,-,Nhẹ,-,-,-,-,-,Khá,-,-,-
Saturday 2019-10-19,-,-,-,-,-,Nhẹ,-,Khá,-,Nhẹ,-,-
Sunday 2019-10-20,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-
Monday 2019-10-21,-,-,-,-,-,-,-,-,Nhẹ,-,-,-
Tuesday 2019-10-22,-,-,-,-,Khá,-,-,-,-,-,-,-
Wednesday 2019-10-23,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-
Thursday 2019-10-24,Nhẹ,-,-,Nhẹ,-,-,-,Khá,-,Nhẹ,Khá,-
Friday 2019-10-25,-,-,-,-,Nhẹ,-,-,-,Khá,-,-,Wow!!!
Saturday 2019-10-26,-,-,-,Khá,-,-,-,-,-,-,-,-
Sunday 2019-10-27,-,Nhẹ,-,-,-,Khá,-,-,-,-,Khá,-
Monday 2019-10-28,-,-,-,Khá,-,-,-,-,Nhẹ,-,-,-
Tuesday 2019-10-29,-,-,-,-,-,-,-,-,-,Khá,-,-
Wednesday 2019-10-30,-,-,-,-,-,-,-,-,-,-,-,-
Thursday 2019-10-31,Nhẹ,-,-,-,-,-,-,-,-,Khá,-,-
Friday 2019-11-01,-,-,-,-,-,-,-,-,-,-,-,-
Saturday 2019-11-02,-,-,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ
Sunday 2019-11-03,-,-,-,-,-,-,-,-,-,-,-,-
Monday 2019-11-04,-
